避難收容處所名稱,is_indoor,classification_reasoning
民義國小,True,基於原始室內標記
上湖社區活動中心,True,基於原始室內標記
長沙公園,False,基於原始室外標記
民俗文化公園,False,基於原始室外標記
屈尺國小廣興分校,True,基於原始室內標記
埔心公園,False,基於原始室外標記
瑞塘社區活動中心,True,基於原始室內標記
仁善社區活動中心,True,基於原始室內標記
金龍社區活動中心,True,基於原始室內標記
平鎮區幼兒園南勢分班,True,基於原始室內標記
東興村集會所,True,基於原始室內標記
東安國中,True,基於原始室內標記
霧峰國中行政大樓地下室,True,基於原始室內標記
霧峰國小志文樓地下室,True,基於原始室內標記
霧峰國中行政大樓地下室,True,基於原始室內標記
和興村集會所,True,基於原始室內標記
水美社區活動中心,True,基於原始室內標記
瑞興社區活動中心,True,基於原始室內標記
屈尺國小,True,基於原始室內標記
僑愛社區活動中心,True,基於原始室內標記
屈尺市民活動中心,True,基於原始室內標記
東社社區活動中心,True,基於原始室內標記
大成國小,True,基於原始室內標記
龍岡公園,False,基於原始室外標記
中壢區龍岡里集會所,True,基於原始室內標記
龍岡公園新,False,基於原始室外標記
建安國小,True,基於原始室內標記
安溪國中,True,基於原始室內標記
豐德公園,False,基於原始室外標記
貿七公園,False,基於原始室外標記
龍友里集會所,True,基於原始室內標記
中園國小,True,基於原始室內標記
青埔社區老人會館,True,基於原始室內標記
獅子林社區活動中心,True,基於原始室內標記
中興社區活動中心,True,基於原始室內標記
瑞原社區活動中心,True,基於原始室內標記
介壽國小,True,基於原始室內標記
瑞祥里集會所,True,基於原始室內標記
安溪國小,True,基於原始室內標記
青少年活動中心,True,基於原始室內標記
陽光活力園區,False,基於原始室外標記
興豐公園三,False,基於原始室外標記
大明活動中心,True,基於原始室內標記
竹霄活動中心,True,基於原始室內標記
龍安公園,False,基於原始室外標記
振興公園,False,基於原始室外標記
副食品公園,False,基於原始室外標記
富岡社區活動中心,True,基於原始室內標記
興豐公園一,False,基於原始室外標記
建德公園,False,基於原始室外標記
龍岡萬坪公園,False,基於原始室外標記
高山社區活動中心,True,基於原始室內標記
成福國小,True,基於原始室內標記
藝文廣場,False,基於原始室外標記
里昂社區公園,False,基於原始室外標記
龍岡森林公園,False,基於原始室外標記
三峽國小,True,基於原始室內標記
長青市民活動中心,True,基於原始室內標記
楓樹腳休閒公園,False,基於原始室外標記
南亞公園,False,基於原始室外標記
溪濱公園,False,基於原始室外標記
瑞泰社區公園,False,基於原始室外標記
新勢公園,False,基於原始室外標記
龍和公園,False,基於原始室外標記
北勢國小,True,基於原始室內標記
合興里-合興社區活動中心,True,基於原始室內標記
瑞安公園,False,基於原始室外標記
新北市坪林區公所,True,基於原始室內標記
新北市坪林區坪林國民小學,True,基於原始室內標記
豐野社區活動中心,True,基於原始室內標記
上田社區活動中心,True,基於原始室內標記
北興社區活動中心,True,基於原始室內標記
中壢區台貿社區活動中心,True,基於原始室內標記
高榮社區活動中心,True,基於原始室內標記
龍德公園,False,基於原始室外標記
直潭國小,True,基於原始室內標記
新北市立坪林國民中學,True,基於原始室內標記
員本社區活動中心,True,基於原始室內標記
興豐公園二,False,基於原始室外標記
三峽國中,True,基於原始室內標記
鶯歌高職,True,基於原始室內標記
伯公岡公園,False,基於原始室外標記
中壢區龍興社區活動中心,True,基於原始室內標記
黎明公園,False,基於原始室外標記
平鎮高中,True,基於原始室內標記
廣仁里里民集會所,True,基於原始室內標記
新富公園,False,基於原始室外標記
廣仁公園,False,基於原始室外標記
仁福公園,False,基於原始室外標記
大溪里-大溪社區活動中心,True,基於原始室內標記
龍埔國小,True,基於原始室內標記
二橋國小,True,基於原始室內標記
兒四十公園,False,基於原始室外標記
宋屋國小,True,基於原始室內標記
後寮公園,False,基於原始室外標記
瑞泰里集會所,True,基於原始室內標記
八德埤塘生態公園,False,基於原始室外標記
583綠地,False,基於原始室外標記
龜山里-龜山社區活動中心,True,基於原始室內標記
大信里集會所,True,基於原始室內標記
大竹里集會所,True,基於原始室內標記
中壢區新振社區活動中心,True,基於原始室內標記
新北市立尖山國民中學,True,基於原始室內標記
北勢社區活動中心,True,基於原始室內標記
平鎮區幼兒園本園,True,基於原始室內標記
中壢區後寮里集會所,True,基於原始室內標記
瑞泰鄰里公園,False,基於原始室外標記
新興公園,False,基於原始室外標記
桃園市南區老人文康活動中心,True,基於原始室內標記
平興暨宋屋里里民集會所,True,基於原始室內標記
建國公園,False,基於原始室外標記
仁德公園,False,基於原始室外標記
福興活動中心,True,基於原始室內標記
大竹埤塘公園,False,基於原始室外標記
平鎮國中,True,基於原始室內標記
福興社區公園,False,基於原始室外標記
宋屋公園,False,基於原始室外標記
華勛公園,False,基於原始室外標記
廣興活動中心,True,基於原始室內標記
客家文化廣場,False,基於原始室外標記
義民公園,False,基於原始室外標記
大興活動中心,True,基於原始室內標記
大昌鄰里公園,False,基於原始室外標記
中壢區仁祥、華勛里集會所,True,基於原始室內標記
平鎮區幼兒園義民分班,True,基於原始室內標記
普慶公園,False,基於原始室外標記
北大高中,True,基於原始室內標記
仁祥公園,False,基於原始室外標記
桃子腳國民中小學,True,基於原始室內標記
平興國中,True,基於原始室內標記
義興里里民集會所,True,基於原始室內標記
南靖里活動中心,True,基於原始室內標記
中壢區東興社區活動中心,True,基於原始室內標記
義興公園,False,基於原始室外標記
鶯歌國中,True,基於原始室內標記
新勢國小,True,基於原始室內標記
瑞聯社區公園,False,基於原始室外標記
莒光環保公園,False,基於原始室外標記
新昇倉庫,True,基於原始室內標記
鶯歌國小,True,基於原始室內標記
雙峰國小,True,基於原始室內標記
復興親子公園,False,基於原始室外標記
景文科技大學,True,基於原始室內標記
雙城國小,True,基於原始室內標記
華愛公園,False,基於原始室外標記
祖田市民活動中心,True,基於原始室內標記
德和公園,False,基於原始室外標記
新榮國小,True,基於原始室內標記
新店國小,True,基於原始室內標記
文化國小,True,基於原始室內標記
麗盛公園,False,基於原始室外標記
青潭國小,True,基於原始室內標記
文昌休閒公園,False,基於原始室外標記
雲海國小,True,基於原始室內標記
仁德公園,False,基於原始室外標記
中壢區仁美社區活動中心,True,基於原始室內標記
達觀國民中小學,True,基於原始室內標記
雙城活動中心,True,基於原始室內標記
舊社公園,False,基於原始室外標記
中壢區舊明里集會所,True,基於原始室內標記
復旦暨復興里里民集會所,True,基於原始室內標記
和盛公園,False,基於原始室外標記
復旦國小,True,基於原始室內標記
柑園國中,True,基於原始室內標記
同和公園,False,基於原始室外標記
建國國小,True,基於原始室內標記
大安里集會所,True,基於原始室內標記
高雄市立立德國民中學,True,基於原始室內標記
高連社區活動中心,True,基於原始室內標記
樹梅嶺倉庫,True,基於原始室內標記
昌福國小,True,基於原始室內標記
平鎮區婦幼活動中心,True,基於原始室內標記
北鶯里活動中心,True,基於原始室內標記
大和公園,False,基於原始室外標記
頂埔國小,True,基於原始室內標記
柑園國小,True,基於原始室內標記
廣達公園,False,基於原始室外標記
中央公園,False,基於原始室外標記
公七公園,False,基於原始室外標記
大忠里集會所,True,基於原始室內標記
大慶 大華里集會所,True,基於原始室內標記
大成活動中心,True,基於原始室內標記
文山國中,True,基於原始室內標記
能仁家商,True,基於原始室內標記
西鶯里活動中心,True,基於原始室內標記
福僑公園大成社區公園,False,基於原始室外標記
瑞發公園,False,基於原始室外標記
大安活動中心,True,基於原始室內標記
文中廣明活動中心,True,基於原始室內標記
篤行公園,False,基於原始室外標記
同福公園,False,基於原始室外標記
永吉國小,True,基於原始室內標記
頂埔市民活動中心,True,基於原始室內標記
新街溪公園,False,基於原始室外標記
五權兒童公園,False,基於原始室外標記
中壢區婦幼館,True,基於原始室內標記
中正公園,False,基於原始室外標記
新北市坪林區坪林國小漁光校區,True,基於原始室內標記
過嶺里兒一公園,False,基於原始室外標記
中壢區社福館,True,基於原始室內標記
中壢區過嶺社區活動中心,True,基於原始室內標記
普忠公園,False,基於原始室外標記
中壢區聯合長壽俱樂部〈松鶴會館〉,True,基於原始室內標記
中壢區德義、仁義、忠義、普義里集會所,True,基於原始室內標記
大湳公園,False,基於原始室外標記
頂城市民活動中心,True,基於原始室內標記
八德市綜合大樓三樓,True,基於原始室內標記
永寧市民活動中心,True,基於原始室內標記
白馬公園,False,基於原始室外標記
安坑國小,True,基於原始室內標記
中壢區中正、中山里集會所,True,基於原始室內標記
中路休閒公園,False,基於原始室外標記
坤慶公園,False,基於原始室外標記
中壢區光明、新明、永光里集會所,True,基於原始室內標記
夢幻公園,False,基於原始室外標記
土城國中,True,基於原始室內標記
公十五公園,False,基於原始室外標記
公二公園,False,基於原始室外標記
地標公園,False,基於原始室外標記
平鎮區幼兒園平鎮分班,True,基於原始室內標記
大智里集會所,True,基於原始室內標記
六和兒童公園,False,基於原始室外標記
光明公園,False,基於原始室外標記
沛陂市民活動中心,True,基於原始室內標記
大里里-大里社區活動中心,True,基於原始室內標記
廣豐兒一公園,False,基於原始室外標記
茄苳埤塘公園,False,基於原始室外標記
茄白活動中心,True,基於原始室內標記
桃園市中壢區公所,True,基於原始室內標記
高明公園,False,基於原始室外標記
大勇兒童公園,False,基於原始室外標記
君臨休閒廣場,False,基於原始室外標記
大千公園,False,基於原始室外標記
忠勇公園,False,基於原始室外標記
及人高中,True,基於原始室內標記
五峰國中,True,基於原始室內標記
廣豐綠一公園,False,基於原始室外標記
廣豐公一公園,False,基於原始室外標記
鳳鳴國中,True,基於原始室內標記
大明公園二,False,基於原始室外標記
中壢區自強、自治里集會所,True,基於原始室內標記
永福環保公園,False,基於原始室外標記
自強公園,False,基於原始室外標記
中鑄公園,False,基於原始室外標記
廣豐生態綠地公園,False,基於原始室外標記
文化公園,False,基於原始室外標記
大明公園一,False,基於原始室外標記
安康高中,True,基於原始室內標記
圳邊公園,False,基於原始室外標記
鳳鳴國小,True,基於原始室內標記
大仁里集會所,True,基於原始室內標記
大仁休閒公園,False,基於原始室外標記
中壢區水尾社區活動中心,True,基於原始室內標記
育德國小,True,基於原始室內標記
大正休閒廣場,False,基於原始室外標記
高明里集會所,True,基於原始室內標記
中正國小,True,基於原始室內標記
崇光女中,True,基於原始室內標記
土城國小,True,基於原始室內標記
土城區公所,True,基於原始室內標記
泰平里活動中心,True,基於原始室內標記
山佳市民活動中心,True,基於原始室內標記
中壢區永福、忠福、幸福里集會所,True,基於原始室內標記
中湖里活動中心,True,基於原始室內標記
中湖國小,True,基於原始室內標記
復興公園,False,基於原始室外標記
思源公園,False,基於原始室外標記
北新國小　,True,基於原始室內標記
鴻撫宮,True,基於原始室內標記
清化市民活動中心,True,基於原始室內標記
清和市民活動中心,True,基於原始室內標記
中園路環保公園,False,基於原始室外標記
樂山市民活動中心,True,基於原始室內標記
元生公園,False,基於原始室外標記
松柏會老人文康活動中心,True,基於原始室內標記
中山社區活動中心,True,基於原始室內標記
新店高中,True,基於原始室內標記
常樂公園,False,基於原始室外標記
山佳國小,True,基於原始室內標記
福豐國中,True,基於原始室內標記
耕莘健康管理專科學校,True,基於原始室內標記
忠孝公園,False,基於原始室外標記
指南國小,True,基於原始室內標記
中壢區中原、忠孝、和平里原住民集會所,True,基於原始室內標記
大豐社福館,True,基於原始室內標記
中壢區復興、復華里集會所,True,基於原始室內標記
建國國中,True,基於原始室內標記
大豐國小,True,基於原始室內標記
成功公園,False,基於原始室外標記
大林社區活動中心,True,基於原始室內標記
甲蟲兒童公園（文化兒2）,False,基於原始室外標記
中壢區內壢、成功、福德里集會所,True,基於原始室內標記
員林市民活動中心,True,基於原始室內標記
霖園兒童公園,False,基於原始室外標記
高城公園,False,基於原始室外標記
陽明社區活動中心,True,基於原始室內標記
中壢區文化里集會所,True,基於原始室內標記
竹林中學,True,基於原始室內標記
石城里-石城社區活動中心,True,基於原始室內標記
開明工商,True,基於原始室內標記
華梵大學于藝館3樓,True,基於原始室內標記
文化公園,False,基於原始室外標記
青山市民活動中心,True,基於原始室內標記
永富市民活動中心,True,基於原始室內標記
景美女中,True,基於原始室內標記
延平公園,False,基於原始室外標記
廷寮市民活動中心,True,基於原始室內標記
南強工商,True,基於原始室內標記
力行國小,True,基於原始室內標記
三角公園,False,基於原始室外標記
陽明公園,False,基於原始室外標記
大同國小,True,基於原始室內標記
東陽市民活動中心,True,基於原始室內標記
彭福國小,True,基於原始室內標記
清水高中,True,基於原始室內標記
福林、豐林、福安、大豐里聯合集會所（陽明公園管理中心）,True,基於原始室內標記
華夏科技大學,True,基於原始室內標記
"青雲,柑林市民活動中心",True,基於原始室內標記
裕德高中,True,基於原始室內標記
新北高工,True,基於原始室內標記
建國國小,True,基於原始室內標記
實踐國中,True,基於原始室內標記
中正國中,True,基於原始室內標記
樹林高級中學,True,基於原始室內標記
實踐國小,True,基於原始室內標記
東昇市民活動中心,True,基於原始室內標記
清水國小,True,基於原始室內標記
吉林公園,False,基於原始室外標記
新和國小,True,基於原始室內標記
北政國中,True,基於原始室內標記
中山公園,False,基於原始室外標記
樂利國小,True,基於原始室內標記
莊敬工家,True,基於原始室內標記
西園路環保公園,False,基於規則推斷 (公園通常為室外空間)
廣興市民活動中心,True,基於原始室內標記
廣福市民活動中心,True,基於原始室內標記
育林國小,True,基於原始室內標記
育林國中,True,基於原始室內標記
中和國中,True,基於原始室內標記
中山國小,True,基於原始室內標記
中山、中平、中原、中泰、中聖五里聯合集會所,True,基於原始室內標記
興南國小,True,基於原始室內標記
廣福國小,True,基於原始室內標記
建國、雲林里聯合集會所建國公園管理中心,True,基於原始室內標記
市二簡易公園,False,基於原始室外標記
溪洲國小,True,基於原始室內標記
明道國小,True,基於原始室內標記
木柵國中,True,基於原始室內標記
兔坑社區活動中心,True,基於原始室內標記
永建國小,True,基於原始室內標記
幸福社區活動中心,True,基於原始室內標記
龍岡公園,False,基於原始室外標記
南門國小,True,基於原始室內標記
山福集會所,True,基於原始室內標記
建國公園,False,基於原始室外標記
安和國小,True,基於原始室內標記
龍祥公園,False,基於原始室外標記
汴洲社區活動中心,True,基於原始室內標記
溫州公園,False,基於原始室外標記
景新國小,True,基於原始室內標記
龍岡社區活動中心,True,基於原始室內標記
景美國小,True,基於原始室內標記
復興國小,True,基於原始室內標記
行政中心大禮堂,True,基於原始室內標記
沙崙國小,True,基於原始室內標記
復興大樓圖書館,True,基於原始室內標記
大同社區活動中心,True,基於原始室內標記
中壢區內厝活動中心,True,基於原始室內標記
山德社區活動中心,True,基於原始室內標記
樹林區公所,True,基於原始室內標記
樹林國小,True,基於原始室內標記
錦和國小,True,基於原始室內標記
木柵國小,True,基於原始室內標記
石碇國小,True,基於原始室內標記
萬興國小,True,基於原始室內標記
信義國小,True,基於原始室內標記
國強公園,False,基於原始室外標記
桃園國小,True,基於原始室內標記
錦和中學,True,基於原始室內標記
龜山區公所本所（三樓禮堂）,True,基於原始室內標記
民族公園,False,基於原始室外標記
市中心區聯合里集會所文明、文昌、文化、南華里,True,基於原始室內標記
景美國中,True,基於原始室內標記
長青學苑,True,基於原始室內標記
桃園市公所禮堂,True,基於原始室內標記
中和高中,True,基於原始室內標記
溪口國小,True,基於原始室內標記
龜山社區活動中心,True,基於原始室內標記
秀山國小,True,基於原始室內標記
重慶國小,True,基於原始室內標記
新路社區活動中心,True,基於原始室內標記
壽山高級中學,True,基於原始室內標記
東門國小,True,基於原始室內標記
景華公園,False,基於原始室外標記
智光商工,True,基於原始室內標記
中壢市芭里社區活動中心,True,基於原始室內標記
桃園國中,True,基於原始室內標記
木柵高工,True,基於原始室內標記
景興國小,True,基於原始室內標記
景興國中,True,基於原始室內標記
臺北市文山運動中心,True,基於原始室內標記
嶺頂社區活動中心,True,基於原始室內標記
自強國小,True,基於原始室內標記
三民里集會所,True,基於原始室內標記
文林國小,True,基於原始室內標記
龜山國中,True,基於原始室內標記
北門、朝陽二里聯合活動中心,True,基於原始室內標記
民權市民活動中心,True,基於原始室內標記
青溪、成功、東門里集會所,True,基於原始室內標記
重慶國中,True,基於原始室內標記
中和區公所,True,基於原始室內標記
成功國小,True,基於原始室內標記
阿柔市民活動中心,True,基於原始室內標記
溪崑國中,True,基於原始室內標記
自強國小,True,基於原始室內標記
志清國小,True,基於原始室內標記
自強國中,True,基於原始室內標記
興華國小,True,基於原始室內標記
積穗國小,True,基於原始室內標記
青溪國小,True,基於原始室內標記
秀朗國小,True,基於原始室內標記
中和國小,True,基於原始室內標記
忠孝國小,True,基於規則推斷 (預設為室內 - 安全原則)
士東國小,True,基於規則推斷 (預設為室內 - 安全原則)
積穗國中,True,基於原始室內標記
萬芳高中,True,基於原始室內標記
萬順市民活動中心,True,基於原始室內標記
公十五公園,False,基於原始室外標記
永安、長安、長德三里聯合活動中心（永康公園管理中心）,True,基於原始室內標記
三民公園、青溪公園,False,基於原始室外標記
鶴齡交誼中心,True,基於原始室內標記
南山高中,True,基於原始室內標記
興德國小,True,基於原始室內標記
深坑國中,True,基於原始室內標記
深坑國小,True,基於原始室內標記
萬芳國小,True,基於原始室內標記
武林國小,True,基於原始室內標記
博嘉國小,True,基於原始室內標記
精忠集會所,True,基於原始室內標記
中山國小,True,基於原始室內標記
興隆國小,True,基於原始室內標記
深坑市民活動中心,True,基於原始室內標記
深坑區公所,True,基於原始室內標記
漳和國中,True,基於原始室內標記
興德里營區,True,基於原始室內標記
永康公園,False,基於原始室外標記
後埔國小,True,基於原始室內標記
復興商工,True,基於原始室內標記
永和國小,True,基於原始室內標記
武功國小,True,基於原始室內標記
公十三公園及兒增二,False,基於原始室外標記
福和國中,True,基於原始室內標記
公八公園,False,基於原始室外標記
東南科技大學,True,基於原始室內標記
兒六兒童遊樂場,False,基於原始室外標記
忠孝國中,True,基於原始室內標記
萬福國小,True,基於原始室內標記
興福國中,True,基於原始室內標記
昇高市民活動中心,True,基於原始室內標記
實踐國小,True,基於原始室內標記
東勢市民活動中心,True,基於原始室內標記
嶺腳市民活動中心,True,基於原始室內標記
兒十四兒童公園,False,基於原始室外標記
直潭派出所,True,基於規則推斷 (預設為室內 - 安全原則)
山北市民活動中心,True,基於原始室內標記
德林寺停車場,False,基於原始室外標記
辛亥國小,True,基於原始室內標記
三多國中,True,基於原始室內標記
永和國中,True,基於原始室內標記
保生國民小學,True,基於規則推斷 (預設為室內 - 安全原則)
育才國小,True,基於原始室內標記
北門國小,True,基於原始室內標記
大業國小,True,基於原始室內標記
永定國小,True,基於原始室內標記
永平國小,True,基於原始室內標記
大觀國小,True,基於原始室內標記
三元、忠義里集會所,True,基於原始室內標記
中壢區洽溪社區活動中心,True,基於原始室內標記
公十一公園,False,基於原始室外標記
大有國小,True,基於原始室內標記
大有國中,True,基於原始室內標記
土庫第1市民活動中心,True,基於原始室內標記
石碇綜合活動大樓,True,基於原始室內標記
海山高中,True,基於原始室內標記
中壢區月眉社區活動中心,True,基於原始室內標記
龍壽國小,True,基於原始室內標記
板橋國小,True,基於原始室內標記
永平高中,True,基於原始室內標記
大觀國中,True,基於原始室內標記
民族國中,True,基於原始室內標記
臺北市大安運動中心,True,基於原始室內標記
板橋高中,True,基於原始室內標記
會稽國小,True,基於原始室內標記
大甲高中活動中心,True,基於原始室內標記
公館國小,True,基於原始室內標記
石碇高中,True,基於原始室內標記
網溪國小,True,基於原始室內標記
公十公園,False,基於原始室外標記
民生公園市民活動中心,True,基於原始室內標記
臺北市中正運動中心,True,基於原始室內標記
月眉環保公園,False,基於原始室外標記
會稽社區活動中心,True,基於原始室內標記
銘傳國小,True,基於原始室內標記
竹林小學,True,基於原始室內標記
光復國小,True,基於原始室內標記
公六公園,False,基於原始室外標記
柑林國小,True,基於規則推斷 (預設為室內 - 安全原則)
虎子山,False,基於原始室外標記
頂溪國小,True,基於原始室內標記
及人國小,True,基於原始室內標記
長源社區活動中心,True,基於原始室內標記
金甌女中,True,基於原始室內標記
福連國小,True,基於原始室內標記
中壢區山東社區活動中心,True,基於原始室內標記
貢寮國中,True,基於原始室內標記
三多國小,True,基於原始室內標記
同安里集會所,True,基於原始室內標記
光復高中,True,基於原始室內標記
忠孝市民活動中心,True,基於原始室內標記
福隆國小,True,基於原始室內標記
龍華社區活動中心,True,基於原始室內標記
丹鳳國小,True,基於原始室內標記
光復國小,True,基於原始室內標記
靈鷲山無生道場,True,基於原始室內標記
桃園縣多功能藝文園區,False,基於原始室外標記
埔墘國小,True,基於原始室內標記
上興公園,False,基於原始室外標記
同新公園,False,基於原始室外標記
